,Unnamed: 0,Unnamed: 1,location,count,mean,lnglat,logcount,absmean
237,237,237,江苏无锡,239,-0.2175732217573222,"120.31199998264002,31.4930989462276",43.81170841545209,0.473381068258609
238,238,238,江苏泰州,74,0.054054054054054064,"119.92299948886058,32.454900991160535",34.43252074563336,0.029218407596785984
239,239,239,江苏淮安,63,-0.15873015873015872,"119.14099980726115,33.50280069520956",33.14507781113226,0.2519526329050138
240,240,240,江苏盐城,89,-0.011235955056179777,"118.76300031815032,32.06089911057974",35.90909095785712,0.0012624668602449188
241,241,241,江苏苏州,397,-0.24937027707808565,"120.5859995757488,31.297300986755488",47.87149024549753,0.6218553509000121
242,242,242,江苏连云港,50,-0.1,"119.2219999950238,34.596599709424645",31.296184043425175,0.10000000000000002
243,243,243,江苏镇江,55,0.01818181818181818,"119.42400006974596,32.188599826899654",32.05866548185977,0.003305785123966942
244,244,244,江西,28,0.25,"115.90899950639518,28.675400727003304",26.65763608140163,0.625
245,245,245,江西上饶,34,-0.029411764705882363,"117.94299970787402,28.45440058113288",28.21088419692929,0.008650519031141874
246,246,246,江西九江,25,0.2,"116.00099994636362,29.70549935152467",25.751006598945605,0.4000000000000001
247,247,247,江西南昌,236,-0.03813559322033898,"115.85800032844008,28.68380026666442",43.710654440204884,0.014543234702671642
248,248,248,江西吉安,52,0.1346153846153846,"114.99400004313809,27.113800221820224",31.609949748651424,0.18121301775147927
249,249,249,江西宜春,32,0.0625,"114.41700002417508,27.81520019661063",27.72588722239781,0.0390625
250,250,250,江西抚州,26,0.2307692307692308,"116.35800030577485,27.949099426497433",26.064772304171857,0.5325443786982251
251,251,251,江西新余,24,-0.125,"114.91700017853248,27.817799510061647",25.42443064278357,0.15625
252,252,252,江西景德镇,18,0.0,"117.17800028683175,29.2686002613824",23.122974063169323,0.0
253,253,253,江西萍乡,31,0.2903225806451613,"115.90899950639518,28.675400727003304",27.47189763588117,0.8428720083246619
